Model_Type_Dataset,Type,dataset,model,AUC,ACC,F1,Precision,Recall,AUC_std,ACC_std,F1_std,Precision_std,Recall_std
42,Abb_FUFEI,1115_1215,BiLSTM,69.76±0.48,67.20±0.28,63.29±0.87,70.55±0.63,59.45±1.86,,,,,
43,Abb_FUFEI,1201_1231,model3.1,76.37±1.24,70.47±1.34,69.05±2.50,72.06±1.00,70.64±3.92,,,,,
44,Abb_FUFEI,1201_1231,BiLSTM,64.12±0.92,63.57±0.75,56.16±1.55,63.00±0.42,54.38±2.39,,,,,
45,Abb_FUFEI,1215_0115,model3.1,77.21±4.20,70.47±3.57,66.53±6.79,81.67±3.37,59.04±10.41,,,,,
46,Abb_FUFEI,1215_0115,BiLSTM,61.82±0.56,61.97±0.59,52.84±0.72,56.82±0.97,55.92±1.39,,,,,
47,Abb_FUFEI,0101_0131,model3.1,77.42±1.06,71.13±0.97,70.57±1.81,79.13±2.22,65.92±3.71,,,,,
48,Abb_FUFEI,0101_0131,BiLSTM,67.37±0.51,66.58±0.85,56.40±1.11,63.74±1.70,53.94±2.61,,,,,
49,Abb_FUFEI,0101_0131,DNN,57.97±0.36,63.72±0.65,41.92±2.10,65.39±3.54,33.92±3.36,,,,,
50,Abb_FUFEI,0115_0215,model3.1,80.96±1.10,73.87±1.62,73.45±2.42,75.70±2.44,72.98±4.85,,,,,
51,Abb_FUFEI,0115_0215,BiLSTM,58.55±0.74,60.87±0.91,49.65±1.08,55.95±1.65,50.36±2.69,,,,,
52,Abb_FUFEI,0115_0215,DNN,52.03±0.26,58.59±0.13,32.78±1.40,49.72±1.19,27.23±1.97,,,,,
53,Abb_FUFEI,0201_0230,model3.1,78.65±1.89,69.69±3.07,72.39±4.52,84.48±2.23,65.42±7.81,,,,,
54,Abb_FUFEI,0201_0230,BiLSTM,67.02±0.62,65.08±0.37,58.91±1.32,65.09±0.96,58.31±1.79,,,,,
55,Abb_FUFEI,0201_0230,DNN,61.47±0.24,65.90±0.13,49.11±0.15,76.23±0.49,37.34±0.38,,,,,
56,Abb_QOE&FUFEI,1101_1130,model3.1,74.98±1.43,69.16±1.39,69.50±2.02,69.38±2.73,71.65±4.71,,,,,
57,Abb_QOE&FUFEI,1101_1130,DNN,62.55±0.63,63.44±0.24,57.33±0.69,64.79±0.15,53.73±0.99,,,,,
58,Abb_QOE&FUFEI,1115_1215,model3.1,81.49±0.67,73.38±0.50,72.06±0.79,80.81±1.79,67.41±1.91,,,,,
59,Abb_QOE&FUFEI,1115_1215,DNN,61.76±0.49,62.53±0.21,52.78±1.09,69.92±1.80,44.73±2.12,,,,,
60,Abb_QOE&FUFEI,1201_1231,model3.1,76.51±0.62,69.88±0.71,68.92±1.85,70.59±1.68,71.54±4.71,,,,,
61,Abb_QOE&FUFEI,1201_1231,DNN,58.03±0.16,61.40±0.30,44.65±1.03,64.63±1.31,35.96±1.63,,,,,
62,Abb_QOE&FUFEI,1215_0115,model3.1,71.70±2.34,66.52±1.50,60.74±3.65,80.57±7.02,51.98±6.90,,,,,
63,Abb_QOE&FUFEI,1215_0115,DNN,52.98±0.17,59.25±0.11,28.43±1.01,47.63±2.61,21.80±1.03,,,,,
64,Abb_QOE&FUFEI,0101_0131,model3.1,74.55±4.77,68.71±2.70,68.19±1.97,77.74±6.49,63.54±5.26,,,,,
65,Abb_QOE&FUFEI,0115_0215,model3.1,81.28±0.82,74.22±0.96,72.97±1.41,77.95±1.37,70.19±3.18,,,,,
66,Abb_QOE&FUFEI,0201_0230,model3.1,79.51±0.81,68.91±2.54,70.53±4.53,87.14±3.87,61.39±9.26,,,,,
67,Abb_QOE&FUFEI,0201_0230,DNN,53.32±0.57,56.98±0.50,45.57±1.04,53.15±1.85,45.86±2.20,,,,,
