属性列名,相关性
0,0.10607715312530762
1,-0.042763017245926384
2,0.041351671220833046
3,0.09509583841068223
4,-0.005786585551284139
5,0.033243654884015844
6,0.0737513970874925
7,-0.04164151044015993
10,-0.03959145642080724
11,0.03980191335855122
12,-0.062207948154496796
16,0.024601486881035473
17,0.04963391127090308
20,-0.0748918658807389
21,-0.27340105546244764
22,-0.18502693419813304
23,0.0645480829337144
24,-0.15143813439571824
25,-0.2358181870687261
26,-0.17389444886680913
27,0.02168896850425336
28,-0.10834199120542866
29,-0.24715011023921704
30,-0.21245076600295607
31,0.03181692572909188
32,-0.18256363282645516
33,-0.008899423496329502
34,-0.041657187078538854
35,0.0003132050329088721
36,0.01857993752958088
37,-0.0016569222891762538
38,-0.006856300037848081
39,0.03839287634399454
40,-0.0042990296136118395
41,-0.03948934122273538
42,-0.03948934122273538
44,-0.03948934122273534
45,-0.002713484593140259
46,0.0027996670667826944
47,0.006598612136266423
48,-0.025307782019356757
50,-0.14921285121873962
51,-0.09852264892212814
52,0.010894446938588029
53,-0.042394117505005914
54,-0.08199172057807914
55,-0.09289176219306224
56,0.035731141564936376
57,-0.09403024017771841
58,-0.18887941535581074
59,-0.42471571327059454
60,0.04959235679379028
61,-0.0041146529237473615
63,-0.022288114379103458
64,-0.06038445108346407
65,-0.06430309047312005
66,0.017478674637037044
67,-0.04429478917371568
68,-0.03632151288194609
69,-0.04868772606434931
70,-0.0568709471706997
71,-0.1009859999774381
72,-0.10101613825978552
73,0.14377041352808526
74,-0.07059250866667816
75,0.025402881254508992
77,0.025385150830434966
78,0.09170661090989621
79,0.0021157702002197794
80,0.0863348188419585
81,0.08387417535558844
82,0.08264489169681558
83,0.05979737660568851
84,-0.022130933895100877
85,0.019374313849374422
86,-0.011043091517529904
87,-0.02722433953914943
88,-0.049686937473995746
89,-0.05608946894032299
90,-0.05762309938977483
91,-0.06003620877758134
92,-0.07265633311966589
93,-0.003997823064302372
94,0.02077339331029007
95,-0.03752069610417744
96,0.06472253699028951
97,0.05440594940746136
98,-0.003517481257680413
99,0.05431013903077795
100,-0.02478903098845545
101,-0.01577369570044706
102,0.01437080944608734
103,-0.003987449324795389
104,-0.009181246955638576
105,-0.08263789237071321
106,-0.03864590567555899
107,0.0035318410833300603
108,0.0343788811399839
109,0.014126263754794938
110,0.06834976425650702
111,0.05649692574291581
112,-0.01865881219687416
113,0.11771000858021793
114,0.001139056757547542
115,-0.025402010989214085
116,-0.04547624883667103
118,-0.08757470341645807
119,-0.1196863072956697
120,0.04547624883667112
121,-0.0016202524886450634
122,-0.038273841207856346
123,0.0006389323805126915
124,0.0028493802006440516
125,0.03337874686654475
126,0.021692139495334554
127,0.036437807370413
128,0.03918703540475137
130,0.04478808640108738
131,-0.02521128744635235
133,-0.0025231258939004872
134,0.06507901235299467
135,-0.11134600196456931
136,0.04989279643834432
137,-0.06264626368055123
138,0.029227647031908048
139,-0.023802994379762177
140,-0.05590733316589637
141,-0.00688300412827097
142,-0.10951075219695867
143,-0.12426243527717065
144,-0.1101043338547699
